SMILES,Peso Molecular,LogP,QED,Lipinski
CBC1CC1C,82.095,1.299,0.418,True
C=C(CC)NCC(BC)C(=O)NC,182.159,0.519,0.588,True
CBC(C)CC,84.111,1.689,0.446,True
C=C(CC)CCC(C)BC,138.158,3.026,0.404,True
C=CNC(C)C(C)CC,127.136,2.154,0.61,True
CBC(C)CN,85.106,0.238,0.477,True
C=C(CC)NCC(C)(BC)C=O,167.148,1.362,0.478,True
C=C(CC)NCC(C)BC,139.153,1.793,0.572,True
CBC(C)(C=O)CN,113.101,-0.193,0.407,True
CCC(C)B(C)NC=CCN=CO,182.159,2.097,0.375,True
C=CCC(C)C1C2CC=C(O)C21,164.12,2.906,0.636,True
C=CC(=O)C(C)(BC)CNC(=C)CC,193.164,1.918,0.494,True
C=C(CC)NCC(C)(BC)C(=O)NC,196.175,0.909,0.62,True
C=CNB(C)C(C)CC,125.138,2.141,0.567,True
C=C=NB(C)C(C)CC,123.122,2.264,0.403,True
C=C=NB(C)C(CC=O)CCN,166.128,0.771,0.36,True
C=C(CC)CCC(C)(BC)C=O,166.153,2.595,0.336,True
CCC(C)B(C)C(O)=NCC=CN,182.159,1.879,0.387,True
C=C=NB(C)C(C)CCC(=C)CC,177.169,3.6,0.334,True
C=C=NC(C)C(CCO)CCO,171.126,0.612,0.575,True
C=CNB(C)C(C)CCC(=C)CC,179.185,3.477,0.466,True
CCC(C)C1(C)C=C(C)C2CC1O2,180.151,3.156,0.593,True
C=C(CC)NCC1(C)B(C)C1=O,165.132,1.506,0.639,True
C=C(CC)CCC(C)(BC)C(=O)NC,195.179,2.142,0.51,True
BC(CNC)C(=O)NC,128.112,-1.627,0.448,True
C=C=NB(C)C(C)CCNC,152.148,1.463,0.468,True
