SMILES,Peso Molecular,LogP,QED,Lipinski
CCCCCCNC,115.136,1.786,0.539,True
CCCCC,72.094,2.197,0.469,True
CCCCCC1CC12CC2C,152.157,3.613,0.54,True
CCC,44.063,1.416,0.385,True
C1CC23CC(CCC2C3)C2CC12,162.141,3.223,0.513,True
CCCC(C)C,86.11,2.443,0.484,True
CCCCCCC,100.125,2.977,0.476,True
CC1CCC2C(C)C23CC3C1C,164.157,3.325,0.515,True
CCCC(C)C(C)C,114.141,3.079,0.529,True
CC12CCC3CC34C(CC1)C4C2,162.141,3.223,0.513,True
CCCCCCCC,114.141,3.367,0.481,True
BC,28.048,-0.332,0.319,True
CNC(C)C,73.089,0.614,0.479,True
CC(C)C1CC1CC1C2CC12,150.141,2.935,0.58,True
CCCCCC,86.11,2.587,0.463,True
CC1CC12CC2CCC1CC1,150.141,3.223,0.579,True
CCCCCC1CC12C(C)C2C,166.172,3.859,0.556,True
CCCCCC1CC1,112.125,2.977,0.49,True
CC1CCCC2CC2CCC1C,166.172,3.859,0.512,True
CC(C)CCCCC1(C)CC1C,168.188,4.249,0.538,True
CC,30.047,1.026,0.373,True
CCNCC,73.089,0.616,0.505,True
CC1C2CC3CC3CCC3CC312,162.141,3.079,0.513,True
CCNC,59.073,0.226,0.456,True
CC(C)CCCC1(C)CC1C,154.172,3.859,0.577,True
C#CC,40.031,0.64,0.348,True
C=CC,42.047,1.192,0.357,True
CC1CC12CC2CCC12CC1C2,162.141,3.223,0.597,True
CCCCCC(C)C,114.141,3.223,0.492,True
BN,29.044,-1.507,0.321,True
CCCCCC1CC1CCC,154.172,4.003,0.507,True
CC1C2C3C4CC43C(C)C3CC132,160.125,2.544,0.511,True
CNCCCC1CC1,113.12,1.396,0.543,True
CCC(C)C1C(CC)C1C(C)C,168.188,3.961,0.596,True
CCC1CC12CC2C,110.11,2.443,0.486,True
CCCCCC1CC1C(C)C,154.172,3.859,0.527,True
CC1C2C1C21C2C1C13CC1(C)C23,158.11,2.154,0.507,True
CCCCCNC,101.12,1.396,0.528,True
CNCCCCC(C)C(C)C,157.183,2.668,0.584,True
CC1CC1CCC1CC12CC2C,164.157,3.469,0.599,True
CCCCCCC(C)CCC,156.188,4.393,0.479,True
CCCCC(C)C(C)C,128.157,3.469,0.544,True
CCCCC1CC1C(C)C,140.157,3.469,0.561,True
CCCCCCC(C)C(C)C,156.188,4.249,0.504,True
